index,l1,l2,l3,l4,l5,l6
270,0.23723575,0.23487705,0.6719534,0.18112248,0.41829818,0.5147946
271,0.24175185,0.21584606,0.5949927,0.1928637,0.40601024,0.46873918
272,0.21545453,0.21933319,0.56899154,0.20788544,0.43689397,0.48759913
273,0.22145987,0.23157325,0.6156553,0.23145464,0.47938353,0.52551866
274,0.23571867,0.22217852,0.58466107,0.23687838,0.41178134,0.4244565
275,0.27514765,0.23730901,0.6543542,0.1806046,0.3976204,0.4740094
276,0.24392845,0.2372679,0.63635206,0.20320338,0.42867532,0.51445645
277,0.23389906,0.20878287,0.5618714,0.21701315,0.4028374,0.45602763
278,0.26209855,0.25284392,0.672348,0.19858634,0.46374723,0.54875064
279,0.2580861,0.23838222,0.66836095,0.17838418,0.43694964,0.515079
280,0.2766899,0.23043083,0.6581881,0.18064326,0.40463164,0.4760188
281,0.26954055,0.24843536,0.6575827,0.19304797,0.45621368,0.5542981
282,0.22724116,0.22805649,0.6058707,0.24218902,0.47270906,0.5352551
283,0.2661827,0.24475479,0.668658,0.1807218,0.45607793,0.53639424
284,0.21496187,0.214466,0.566821,0.2088531,0.42194465,0.46186417
285,0.27088568,0.2564422,0.6979809,0.2004933,0.4570349,0.5491246
286,0.2621891,0.25584638,0.6885051,0.20394164,0.47106495,0.5550765
287,0.24479748,0.23653941,0.6167347,0.20049194,0.42268965,0.5095677
288,0.26395494,0.23119646,0.627705,0.1852471,0.41329688,0.49412334
289,0.24330573,0.21939853,0.5776812,0.23582816,0.4172142,0.4442854
290,0.2608074,0.24183454,0.66609645,0.19554882,0.42614526,0.5323887
291,0.23463276,0.23584937,0.66913956,0.17347461,0.4169109,0.5009945
292,0.23307802,0.22828183,0.6037774,0.23966329,0.44701427,0.47620192
293,0.25324345,0.24562806,0.66977924,0.19877121,0.4379089,0.5412157
294,0.27060887,0.23990934,0.7371527,0.1880285,0.44219363,0.53675455
295,0.22496209,0.23214427,0.60504454,0.22179997,0.4750773,0.5625205
296,0.2383435,0.21672025,0.5805672,0.21241084,0.4082864,0.47114035
297,0.2757972,0.23185319,0.6528517,0.17721185,0.40393662,0.46435982
298,0.22654781,0.22989465,0.5930586,0.21948844,0.4423741,0.47480917
299,0.23807748,0.21862453,0.58130497,0.23771903,0.43908,0.49466023
300,0.24044052,0.23108016,0.6814247,0.18275109,0.420363,0.5175681
301,0.24510658,0.22095133,0.60607237,0.19826102,0.42147264,0.49675125
302,0.26688617,0.25897744,0.682613,0.20605214,0.45750344,0.547907
303,0.24370682,0.22873475,0.67801356,0.18518,0.42436838,0.52616066
304,0.23193318,0.22625299,0.6100694,0.2037426,0.44348422,0.5376047
305,0.21861486,0.2235753,0.57820654,0.21600471,0.44330996,0.48134756
306,0.2752127,0.2412903,0.70805275,0.16265371,0.43346027,0.50913453
307,0.25408214,0.24210778,0.6724384,0.19353887,0.43742,0.5399616
308,0.23508212,0.22899869,0.6060436,0.24838568,0.46987757,0.5155678
309,0.2386517,0.23170316,0.64147854,0.19805446,0.44962272,0.5536927
310,0.25543582,0.24044728,0.6490911,0.19536695,0.45604944,0.54392266
311,0.25066936,0.24164131,0.6830889,0.18932292,0.43954384,0.53796154
312,0.2635365,0.24269748,0.6656832,0.19350031,0.41620508,0.52394027
313,0.280764,0.24995597,0.6741503,0.18992488,0.45444974,0.54232866
314,0.26425526,0.24987853,0.6748186,0.19707513,0.44656354,0.5381669
315,0.23183048,0.2270833,0.60568094,0.19578032,0.44744313,0.542611
316,0.2375653,0.2291554,0.6249288,0.19508359,0.45035052,0.54658663
317,0.2522011,0.24075112,0.6481346,0.21952766,0.45897055,0.55189884
318,0.23828244,0.24941245,0.65778595,0.20916042,0.44942117,0.53315794
319,0.22761685,0.23252174,0.63337064,0.2173061,0.413912,0.47494552
320,0.25839946,0.23342313,0.64394397,0.20849681,0.41310662,0.4597553
321,0.24619985,0.24299213,0.6625088,0.2182379,0.45841318,0.5492791
322,0.21793978,0.21153419,0.6290805,0.1918093,0.3953607,0.4507601
323,0.24188396,0.23268959,0.6481928,0.20959343,0.41631216,0.4603085
324,0.23959774,0.22807552,0.6317344,0.21054837,0.42010194,0.43721384
325,0.27315426,0.24975151,0.7325958,0.18160784,0.4382816,0.51857483
326,0.2672755,0.25593197,0.7029278,0.18328121,0.4391432,0.52820283
327,0.2615289,0.24803844,0.7078681,0.2101489,0.46103847,0.544852
328,0.2266622,0.23613949,0.6264476,0.22710338,0.44866857,0.51599956
329,0.25728884,0.25834182,0.6793576,0.20473264,0.44490474,0.5230405
330,0.22518106,0.21486504,0.6099181,0.21138874,0.4061847,0.4397619
331,0.21464853,0.20885006,0.63000345,0.19912784,0.42079076,0.4674662
332,0.2415736,0.24084502,0.66481614,0.21195748,0.44355798,0.5125655
333,0.24481118,0.23094691,0.63964736,0.2044364,0.43192106,0.47654197
334,0.25459713,0.23492807,0.6468221,0.21927947,0.4367592,0.51381993
